developer,complex,metro,metro_walk_time,rooms,area,price,price_per_metre,building,floor,check_in,address,lag,log,distance_to_mkad,description,metro_car_time,metro_distance,metro_public_transport_time,district,district_population,district_avg_salary
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.3 м2,18 192 243 ₽,515 361 ₽ за м2,5.4,8/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.4 м2,18 232 896 ₽,474 815 ₽ за м2,5.5,24/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.6 м2,18 234 254 ₽,472 390 ₽ за м2,5.4,11/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,36.5 м2,18 240 656 ₽,499 744 ₽ за м2,5.4,10/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.7 м2,18 247 707 ₽,471 517 ₽ за м2,5.5,6/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,34.48 м2,18 271 296 ₽,529 910 ₽ за м2,5.0,23/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,39.2 м2,18 281 939 ₽,466 376 ₽ за м2,5.1,3/13,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,36.2 м2,18 350 576 ₽,506 922 ₽ за м2,5.7,12/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,35.61 м2,18 389 716 ₽,516 420 ₽ за м2,5.0,20/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,40.38 м2,18 394 099 ₽,455 525 ₽ за м2,5.0,2/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.6 м2,18 406 487 ₽,476 852 ₽ за м2,5.4,8/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.7 м2,18 431 649 ₽,476 270 ₽ за м2,5.5,12/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,34.74 м2,18 432 175 ₽,530 575 ₽ за м2,5.0,15/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,35.53 м2,18 439 537 ₽,518 985 ₽ за м2,5.0,15/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.8 м2,18 441 640 ₽,475 301 ₽ за м2,5.4,12/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,39.2 м2,18 449 244 ₽,470 644 ₽ за м2,5.1,6/13,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,39.9 м2,18 480 682 ₽,463 175 ₽ за м2,5.7,9/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Кутузовском,Кунцевская,7 мин,1,35.47 м2,18 492 639 ₽,521 360 ₽ за м2,5.0,24/30,4 квартал 2027,,55.728573,37.432575,,"«Среда на Кутузовском» — место для тех, кто хочет вывести свой личный комфорт на новый уровень. Квартал бизнес-класса появится на западе Москвы в престижном, экологически чистом районе Кунцево. Проект сочетает в себе ритмичность и динамичность, которые так ценят жители современного мегаполиса, но при этом бережно вписан в окружающую среду и гармонично дополняет ее.",,,,,,
