project,floor_number,total_floors,living_area,area,price,rooms,is_apartment,penthouse,metro_set.name,metro_set,settling_date_formatted
Квартал Строгино,21,24,19.15,32.83,13193622,1,False,False,,"[{'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Мякинино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 233}]",30 дек. 2026
Новое Видное,3,12,27.04,51.8,11543941,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Квартал Западный,2,14,26.66,55.12,10894688,2,False,False,,"[{'name': 'Аэропорт «Внуково»', 'color': '#FFCD1E', 'car_time': 16, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'МЦД-4 Санино', 'color': '#40B280', 'car_time': None, 'walk_time': 7, 'public_transport_time': None, 'cian_id': None}]",31 окт. 2026
Квартал Авиаторов,3,17,40.78,60.83,10666723,2,False,False,,"[{'name': 'Ж/д ст. Балашиха', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'м. Щелковская', 'color': '#0572B9', 'car_time': 20, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 янв. 2026
Тропарево Парк,18,23,0.0,54.29,11157803,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",31 май. 2026
Остафьево,13,14,34.13,54.97,10902408,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Большое Путилково,18,25,32.85,51.83,13201516,2,False,False,,"[{'name': 'Сходненская', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 122}, {'name': 'Митино', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 235}, {'name': 'Пятницкое шоссе', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 244}, {'name': 'Планерная', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 94}]",30 апр. 2027
Алхимово,10,15,27.68,44.89,11750428,1,False,False,,"[{'name': 'МЦД-2 Силикатная', 'color': '#EA3F84', 'car_time': 7, 'walk_time': None, 'public_transport_time': None, 'cian_id': 435}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 июл. 2025
Остафьево,13,14,35.85,53.04,10991363,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Эко Бунино,16,23,23.94,51.1,11176953,2,False,False,,"[{'name': 'Новомосковская (Коммунарка)', 'color': '#E42518', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': None}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}, {'name': 'Сосенки (строится)', 'color': '#03795F', 'car_time': None, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 апр. 2027
Эко Бунино,8,14,22.2,56.34,11773708,2,False,False,,"[{'name': 'Новомосковская (Коммунарка)', 'color': '#E42518', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': None}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}, {'name': 'Сосенки (строится)', 'color': '#03795F', 'car_time': None, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 май. 2027
Остафьево,9,14,59.68,80.53,13210591,3,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Молжаниново,10,15,33.12,54.65,10928935,1,False,False,,"[{'name': 'МЦД-3 Новоподрезково', 'color': '#FF8843', 'car_time': None, 'walk_time': 5, 'public_transport_time': None, 'cian_id': None}]",30 сен. 2026
