project,floor_number,total_floors,living_area,area,price,rooms,is_apartment,penthouse,metro_set.name,metro_set,settling_date_formatted
Тропарево Парк,12,23,0.0,64.41,10671408,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",30 дек. 2026
Рублевский Квартал,5,7,41.2,65.75,10356348,2,False,False,,"[{'name': 'МЦД-1 Одинцово', 'color': '#FFCD76', 'car_time': 20, 'walk_time': None, 'public_transport_time': 30, 'cian_id': None}]",31 июл. 2026
Тропарево Парк,22,23,0.0,55.6,10666867,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",30 мар. 2025
Новое Видное,7,12,27.04,51.14,11459451,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Прибрежный Парк,2,17,30.72,59.81,11335695,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Ленинская', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}]",31 май. 2026
Тропарево Парк,2,23,0.0,62.27,10767277,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",31 май. 2026
Остафьево,12,14,34.13,54.97,10801324,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Новое Внуково,5,9,27.77,52.57,11405254,2,False,False,,"[{'name': 'МЦД-4 Кокошкино', 'color': '#40B280', 'car_time': 6, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Аэропорт «Внуково»', 'color': '#FFCD1E', 'car_time': 16, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 дек. 2025
Новое Внуково,8,9,30.73,60.61,11908661,2,False,False,,"[{'name': 'МЦД-4 Кокошкино', 'color': '#40B280', 'car_time': 6, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Аэропорт «Внуково»', 'color': '#FFCD1E', 'car_time': 16, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 май. 2026
Егорово Парк,10,12,41.34,78.55,9934419,3,False,False,,"[{'name': 'Котельники', 'color': '#943F90', 'car_time': 12, 'walk_time': None, 'public_transport_time': None, 'cian_id': 282}, {'name': 'МЦД-3 Томилино', 'color': '#FF8843', 'car_time': 3, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 апр. 2026
Тропарево Парк,2,23,0.0,56.3,10991040,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",31 май. 2026
Большое Путилково,16,17,27.64,51.31,13106319,2,False,False,,"[{'name': 'Сходненская', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 122}, {'name': 'Митино', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 235}, {'name': 'Пятницкое шоссе', 'color': '#0572B9', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 244}, {'name': 'Планерная', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 94}]",30 апр. 2027
Молжаниново,1,7,28.73,57.59,11638003,2,False,False,,"[{'name': 'МЦД-3 Новоподрезково', 'color': '#FF8843', 'car_time': None, 'walk_time': 5, 'public_transport_time': None, 'cian_id': None}]",30 сен. 2026
Рублевский Квартал,2,8,41.2,65.84,10382112,2,False,False,,"[{'name': 'МЦД-1 Одинцово', 'color': '#FFCD76', 'car_time': 20, 'walk_time': None, 'public_transport_time': 30, 'cian_id': None}]",31 июл. 2026
Мытищи Парк,2,17,41.63,78.36,12642759,3,False,False,,"[{'name': 'Медведково', 'color': '#EF7E24', 'car_time': 25, 'walk_time': None, 'public_transport_time': None, 'cian_id': 69}]",31 мар. 2026
Новое Видное,16,16,35.82,53.05,11425485,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Квартал Марьино,11,17,28.68,58.29,10685490,2,False,False,,"[{'name': 'Филатов Луг', 'color': '#E42518', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",24 дек. 2026
Квартал Строгино,17,24,19.15,32.83,13113418,1,False,False,,"[{'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Мякинино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 233}]",30 дек. 2026
Богдановский Лес,11,12,58.89,80.4,10512220,3,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 июн. 2026
Космический Квартал,4,12,52.82,75.49,13119936,3,False,False,,"[{'name': 'Ж/д ст. Болшево', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Ж/д ст. ""Фабрика 1 мая""', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': None}]",30 сен. 2027
Квартал Авиаторов,4,17,35.5,62.73,10514865,2,False,False,,"[{'name': 'Ж/д ст. Балашиха', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'м. Щелковская', 'color': '#0572B9', 'car_time': 20, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 янв. 2026
Квартал Румянцево,14,18,10.78,32.17,11454411,1,False,False,,"[{'name': 'Саларьево', 'color': '#E42518', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}]",30 июн. 2025
Новое Видное,3,17,30.78,60.48,12001470,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Верейская 41,1,9,0.0,34.8,13120903,1,True,False,,"[{'name': 'Давыдково', 'color': '#78C7C9', 'car_time': 6, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 393}]",31 дек. 2025
Остафьево,8,14,28.81,57.4,10730260,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Квартал Строгино,18,24,10.26,32.68,13123798,1,False,False,,"[{'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Мякинино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 233}]",30 дек. 2026
Тропарево Парк,4,23,0.0,56.28,10682356,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",31 май. 2026
Новое Внуково,9,9,28.73,57.46,11285678,2,False,False,,"[{'name': 'МЦД-4 Кокошкино', 'color': '#40B280', 'car_time': 6, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Аэропорт «Внуково»', 'color': '#FFCD1E', 'car_time': 16, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 май. 2026
Остафьево,10,14,35.85,53.04,10913822,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
Ольховый Квартал,8,16,19.5,41.2,11391232,2,False,False,,"[{'name': 'Коммунарка', 'color': '#03795F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}]",30 апр. 2027
Эко Бунино,6,14,22.2,56.34,11708860,2,False,False,,"[{'name': 'Новомосковская (Коммунарка)', 'color': '#E42518', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': None}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}, {'name': 'Сосенки (строится)', 'color': '#03795F', 'car_time': None, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 май. 2027
Тропарево Парк,17,23,0.0,64.44,10768620,2,True,False,,"[{'name': 'Румянцево', 'color': '#E42518', 'car_time': None, 'walk_time': 10, 'public_transport_time': None, 'cian_id': 284}]",30 дек. 2026
Sky Sputnik,22,30,0.0,44.37,13179532,1,True,False,,"[{'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 5, 'public_transport_time': None, 'cian_id': None}]",30 апр. 2027
Квартал Румянцево,7,20,23.58,35.83,12002473,1,False,False,,"[{'name': 'Саларьево', 'color': '#E42518', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}]",30 июн. 2025
Космический Квартал,6,12,40.86,78.47,13183352,3,False,False,,"[{'name': 'Ж/д ст. Болшево', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Ж/д ст. ""Фабрика 1 мая""', 'color': '#FFFFFF', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': None}]",30 сен. 2027
Квартал Строгино,21,24,10.26,32.68,13183668,1,False,False,,"[{'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 15, 'public_transport_time': None, 'cian_id': None}, {'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Мякинино', 'color': '#0572B9', 'car_time': None, 'walk_time': 20, 'public_transport_time': None, 'cian_id': 233}]",30 дек. 2026
Егорово Парк,6,6,51.39,88.43,13186682,3,False,False,,"[{'name': 'Котельники', 'color': '#943F90', 'car_time': 12, 'walk_time': None, 'public_transport_time': None, 'cian_id': 282}, {'name': 'МЦД-3 Томилино', 'color': '#FF8843', 'car_time': 3, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",30 июн. 2026
Новое Видное,5,17,30.78,60.48,12069570,2,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}, {'name': 'Ж/д ст. Калинина', 'color': '#FFFFFF', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}]",31 дек. 2025
Sky Sputnik,27,30,0.0,41.57,13190785,1,True,False,,"[{'name': 'Строгино', 'color': '#0572B9', 'car_time': None, 'walk_time': 25, 'public_transport_time': None, 'cian_id': 228}, {'name': 'Липовая Роща (скоро)', 'color': '#27303F', 'car_time': None, 'walk_time': 5, 'public_transport_time': None, 'cian_id': None}]",30 апр. 2027
Новоград Павлино,15,22,41.08,70.14,10385980,2,False,False,,"[{'name': 'МЦД-4 Железно\xadдорожная', 'color': '#40B280', 'car_time': 20, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Некрасовка', 'color': '#DE64A1', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 373}]",30 сен. 2025
Квартал Ивакино,15,17,40.9,59.3,10723988,2,False,False,,"[{'name': 'МЦД-1 Хлебниково', 'color': '#FFCD76', 'car_time': 12, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'МЦД-3 Химки', 'color': '#FF8843', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': None}, {'name': 'Ховрино', 'color': '#4BAF4F', 'car_time': 20, 'walk_time': None, 'public_transport_time': None, 'cian_id': 349}]",31 мар. 2025
Остафьево,10,14,28.81,57.4,10800408,2,False,False,,"[{'name': 'МЦД-2 Щербинка', 'color': '#EA3F84', 'car_time': 5, 'walk_time': None, 'public_transport_time': None, 'cian_id': 434}, {'name': 'Бунинская аллея', 'color': '#BAC8E8', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 25}]",30 ноя. 2026
