price,area,floor,rooms_number,complex,developer,address
35748880,55.1,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
35814240,81.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
35870900,67.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
35875450,56.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
35926280,76.7,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
35938000,47.6,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
35966700,69.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
35997930,74.7,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36091526,64.8,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36164178,72.7,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36236500,68.5,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36289520,56.8,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36351310,47.9,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36459420,73.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36496473,68.8,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36507900,71.5,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36509260,55.1,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36594400,74.5,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36608824,86.0,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
36618360,78.8,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
36635800,58.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36652910,66.6,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
36727872,84.0,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
36762464,79.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
36818610,57.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37059480,67.8,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37067640,84.1,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37165820,92.2,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37166693,71.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37234980,76.9,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37246600,71.0,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37300560,79.6,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37303640,56.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37348320,79.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37450890,78.3,,2,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
37491683,76.3,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37502790,56.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37621710,93.1,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37656420,56.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37697460,92.6,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37715210,84.1,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37807910,93.1,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
37821800,58.0,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37925710,58.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
37992000,80.0,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
38098290,92.9,,3,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
38099700,68.5,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
38137600,47.2,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
38155420,58.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
38180310,93.1,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
38285150,61.9,,2,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
