name,price,area,floor,rooms_number,project,meter_price
MIR-1-1-К-1-13-5-11305,58080960.0,115.24,13,4,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",504000.0
MIR-1-1-К-1-14-2-11402,40496057.0,84.49,14,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",479300.0
MIR-1-1-К-1-14-8-11408,25497409.0,46.69,14,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",546100.0
MIR-1-1-К-1-15-3-11503,34775118.0,62.93,15,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",552600.0
MIR-1-1-К-1-15-9-11509,22673492.0,37.72,15,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",601100.0
MIR-1-2-К-1-13-4-21304,32975514.0,45.54,13,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",724100.0
MIR-1-1-К-1-9-7-10907,30616586.0,63.14,9,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",484900.0
MIR-1-2-К-1-17-3-21703,42210101.0,62.71,17,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",673100.0
MIR-1-2-К-1-17-4-21704,33307956.0,45.54,17,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",731400.0
MIR-1-1-К-1-9-11-10911,20518436.0,37.69,9,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",544400.0
